2073	5.6	1400	0
2074	5.6	1050	0
2075	5.6	700	0
2076	5.6	0	0

2069	5.6	1400	6
2072	5.6	1050	6
2071	5.6	700	6
2070	5.6	0	6

2077	5.6	1400	3
2078	5.6	1050	3
2079	5.6	700	3
2080	5.6	0	3

2081	5.6	1400	9
2082	5.6	1050	9
2083	5.6	700	9
2084	5.6	0	9

2085	5.6	1400	8
2086	5.6	1050	8
2087	5.6	700	8
2088	5.6	0	8

2089	5.6	1400	7
2090	5.6	1050	7
2091	5.6	700	7
2092	5.6	0	7

2093	5.6	1400	5
2094	5.6	1050	5
2095	5.6	700	5
2096	5.6	0	5

2097	5.6	1400	4
2098	5.6	1050	4
2099	5.6	700	4
2100	5.6	0	4

#2101	5.6	1400	2
#2102	5.6	1050	2
#2103	5.6	700	2
#2104	5.6	0	2

2105	5.6	1400	1
2106	5.6	1050	1
2107	5.6	700	1
2108	5.6	0	1

2109	5.6	1400	-1
2110	5.6	1050	-1
2111	5.6	700	-1
2112	5.6	0	-1

2113	5.6	0	-2
2114	5.6	1400	-2
2115	5.6	1050	-2
2116	5.6	700	-2

2117	5.6	1400	-3
2118	5.6	1050	-3
2119	5.6	700	-3
2120	5.6	0	-3

2121	5.6	1400	-4
2122	5.6	1050	-4
2123	5.6	700	-4
2124	5.6	0	-4

2125	5.6	1400	-5
2126	5.6	1050	-5
2127	5.6	700	-5
2128	5.6	0	-5

2129	5.6	1400	-6
2130	5.6	1050	-6
2131	5.6	700	-6
2132	5.6	0	-6

2138	5.6	1400	12
2139	5.6	1050	12
2140	5.6	700	12
2141	5.6	0	12

2142	5.6	1400	11
2143	5.6	1050	11
2144	5.6	700	11
2145	5.6	0	11

2146	5.6	0	10
2147	5.6	1400	10
2148	5.6	1050	10
2149	5.6	700	10

2151	5.6	1400	2
2152	5.6	1050	2
2153	5.6	700	2
2154	5.6	0	2



2187	5.6	1400	-6
2188	5.6	1050	-6
2189	5.6	700	-6
2190	5.6	0	-6

2192	5.6	1400	-5
2193	5.6	1050	-5
2194	5.6	700	-5
2195	5.6	0	-5

2209	5.6	1400	-4
2210	5.6	1050	-4
2211	5.6	700	-4
2212	5.6	0	-4

2213	5.6	1400	-3
2214	5.6	1050	-3
2215	5.6	700	-3
2216	5.6	0	-3

2217	5.6	1400	-2
2218	5.6	1050	-2
2219	5.6	700	-2
2220	5.6	0	-2

2221	5.6	1400	-1
2222	5.6	1050	-1
2223	5.6	700	-1
2224	5.6	0	-1

2225	5.6	1400	0
2226	5.6	1050	0
2227	5.6	700	0
2228	5.6	0	0

2229	5.6	1400	1
2230	5.6	1050	1
2231	5.6	700	1
2232	5.6	0	1

2235	5.6	1400	2
2236	5.6	1050	2
2237	5.6	700	2
2238	5.6	0	2

2239	5.6	1400	3
2240	5.6	1050	3
2241	5.6	700	3
2242	5.6	0	3

2243	5.6	1400	4
2244	5.6	1050	4
2245	5.6	700	4
2246	5.6	0	4

2273	5.6	1400	5
2274	5.6	1050	5
2275	5.6	700	5
2276	5.6	0	5

2277	5.6	1400	6
2278	5.6	1050	6
2279	5.6	700	6
2280	5.6	0	6

2281	5.6	1400	7
2282	5.6	1050	7
2283	5.6	700	7
2284	5.6	0	7
